Product Name,Product ID,Prod ID Code,Category Level 2,Price,Product Description,Store IDs
Apple 2GB iPod Shuffle (Green),,APPLEIPOD,Audio,,BFR-free and PVC freeRecyclable aluminium enclosure,BIZID001
Apple 2GB iPod Shuffle (Orange),,APPLEIPOD,Audio,,BFR-free and PVC freeRecyclable aluminium enclosure,BIZID002
Apple 2GB iPod Shuffle (Yellow),,APPLEIPOD,Audio,,BFR-free and PVC freeRecyclable aluminium enclosure,BIZID003
Apple 2GB iPod shuffle 4th Generation (Grey),,APPLEIPOD,Audio,,BFR-free and PVC freeRecyclable aluminium enclosure,BIZID004
Apple 2GB iPod shuffle 4th Generation (Pink),,APPLEIPOD,Audio,,BFR-free and PVC freeRecyclable aluminium enclosure,BIZID005
Apple 2GB iPod shuffle 4th Generation (Purple),,APPLEIPOD,Audio,,BFR-free and PVC freeRecyclable aluminium enclosure,BIZID006
Apple 2GB iPod shuffle 4th Generation (Silver),,APPLEIPOD,Audio,,BFR-free and PVC freeRecyclable aluminium enclosure,BIZID007
Apple 32GB iPod Touch (Red),,APPLEIPOD,Audio,,"3.5-inch TFT LCD display32GB capacity for about 8000 songs, 40000 photos or 40 hours of video, up to 40 hours of audio playback or 7 hours of video playback on a single charge960-by-640-pixel resolution (326 pixels per inch) Bluetooth 2.1 + EDRSupport for AAC, protected AAC (iTunes store), MP3, MP3 VBR, audible, Apple lossless, AIFF and WAV audio formats - H.264, MPEG-4 and Motion JPEG video codecs in M4V, MP4, MOV and AVI formats",BIZID001
Apple 32GB iPod Touch with 3.5-inch Display (Black),,APPLEIPOD,Audio,,"3.5-inch TFT LCD display32 GB capacity for about 8,000 songs, 40,000 photos, or 40 hours of videoUp to 40 hours of audio playback or 7 hours of video playback on a single charge960x640 pixel resolution (326 pixels per inch)Bluetooth 2.1 + EDRSupport for AAC, protected AAC (iTunes store), MP3, MP3 VBR, Audible, Apple lossless, AIFF, and WAV audio formats also H.264, MPEG-4, and motion JPEG video codes in M4V, MP4, MOV, and AVI formats",BIZID002
Apple 32GB iPod Touch with 4-inch Display (Black and Slate),,APPLEIPOD,Audio,,"HD video recording (1080p) up to 30 frames per second with audioFaceTime HD camera with 1.2MP photos and HD video (720p) up to 30 frames per secondFace detection, LED flash and panaromaPhoto and video geotagging over Wi-Fi5-megapixel iSight camera with autofocus and video stabilisation",BIZID003
Apple 32GB iPod Touch with 4-inch Display (Blue),,APPLEIPOD,Audio,,"HD video recording (1080p) up to 30 frames per second with audioFaceTime HD camera with 1.2MP photos and HD video (720p) up to 30 frames per secondFace detection, LED flash and panaromaPhoto and video geotagging over Wi-Fi5-megapixel iSight camera with autofocus and video stabilisation",BIZID004
Apple 32GB iPod Touch with 4-inch Display (Pink),,APPLEIPOD,Audio,,"HD video recording (1080p) up to 30 frames per second with audioFaceTime HD camera with 1.2MP photos and HD video (720p) up to 30 frames per secondFace detection, LED flash and panaromaPhoto and video geotagging over Wi-Fi5-megapixel iSight camera with autofocus and video stabilisation",BIZID005
Apple 32GB iPod Touch with 4-inch Display (White),,APPLEIPOD,Audio,,"HD video recording (1080p) up to 30 frames per second with audioFaceTime HD camera with 1.2MP photos and HD video (720p) up to 30 frames per secondFace detection, LED flash and panaromaPhoto and video geotagging over Wi-Fi5-megapixel iSight camera with autofocus and video stabilisation",BIZID006
Apple 32GB iPod Touch with 4-inch Display (Yellow),,APPLEIPOD,Audio,,"HD video recording (1080p) up to 30 frames per second with audioFaceTime HD camera with 1.2MP photos and HD video (720p) up to 30 frames per secondFace detection, LED flash and panaromaPhoto and video geotagging over Wi-Fi5-megapixel iSight camera with autofocus and video stabilisation",BIZID007
Apple 64GB iPod Touch (Pink),,APPLEIPOD,Audio,,"HD video recording (1080p) up to 30 frames per second with audioFaceTime HD camera with 1.2MP photos and HD video (720p) up to 30 frames per secondFace detection, LED flash and panaromaPhoto and video geotagging over Wi-Fi5-megapixel iSight camera with autofocus and video stabilisation",BIZID001
Apple 64GB iPod Touch with 4-inch Display (Black and Slate),,APPLEIPOD,Audio,,"HD video recording (1080p) up to 30 frames per second with audioFaceTime HD camera with 1.2MP photos and HD video (720p) up to 30 frames per secondFace detection, LED flash and panaromaPhoto and video geotagging over Wi-Fi5-megapixel iSight camera with autofocus and video stabilisation",BIZID002
Apple 64GB iPod Touch with 4-inch Display (Blue),,APPLEIPOD,Audio,,"HD video recording (1080p) up to 30 frames per second with audioFaceTime HD camera with 1.2MP photos and HD video (720p) up to 30 frames per secondFace detection, LED flash and panaromaPhoto and video geotagging over Wi-Fi5-megapixel iSight camera with autofocus and video stabilisation",BIZID003
Apple 64GB iPod Touch with 4-inch Display (White),,APPLEIPOD,Audio,,"HD video recording (1080p) up to 30 frames per second with audioFaceTime HD camera with 1.2MP photos and HD video (720p) up to 30 frames per secondFace detection, LED flash and panaromaPhoto and video geotagging over Wi-Fi5-megapixel iSight camera with autofocus and video stabilisation",BIZID004
Apple 64GB iPod Touchwith 4-inch Display (Yellow),,APPLEIPOD,Audio,,"HD video recording (1080p) up to 30 frames per second with audioFaceTime HD camera with 1.2MP photos and HD video (720p) up to 30 frames per secondFace detection, LED flash and panaromaPhoto and video geotagging over Wi-Fi5-megapixel iSight camera with autofocus and video stabilisation",BIZID005
Apple 8GB iPod Touch with 3.5-inch Display (Black),,APPLEIPOD,Audio,,"Face timeRetina displayHD video recordingiMessage lets you send unlimited text messages from your iPod touch to an iPhone, iPad, or another iPod touch free over Wi-FiThe A4 processor helps give you even more amazing gamingWith iPod touch, you don't just play your music. You hear it, and see it, in entirely different ways",BIZID006
Apple In-Ear Headphone with Remote and Mic (White),,APPLEACC,Audio,,In-the-ear headset3.5 millimeter headphone jackBuilt-in microphone5Hz - 21000Hz headset frequency response23ohm headset impedance109dB/mW headset sensitivity at 1kHz,BIZID007
"Apple iPhone 5C with Jabra Voice Easyvoice Bluetooth Headset (Blue, 8GB)",,APPLEACC,Audio,,"8MP primary camera with LED flash, auto focus, geo tagging, face detection, 1.2MP front facing camera with HD video recording and backside illumination sensor4-inch multi-touch retina display with 1136 x 640 pixels resolutioniOS 7 operating system with 8GB internal memoryRechargable battery providing talk-time up to 10 hours on 3G network and standby time up to 250 hours1 year manufacturer warranty for device and in-box accessories including batteries from the date of purchase",BIZID001
