Word,Keyword,CategoryL1
edible,Generic,ID
icing,Generic,ID
cake,Generic,ID
sports,Generic,ID
flowers,Specific,ID
cut,Generic,ID
flower,Generic,ID
media,Generic,ID
rugs,Generic,ID
bound,Generic,ID
knotted,Generic,ID
tufted,Generic,ID
made,Generic,ID
pads,Generic,ID
resistant,Generic,ID
plants,Generic,ID
fruits,Generic,ID
trees,Generic,ID
vegetables,Generic,ID
storage,Generic,ID
baskets,Generic,ID
accessories,Generic,ID
accessory,Generic,ID
drapescandle,Generic,ID
shaverscandle,Generic,ID
snuffers,Generic,ID
wickswick,Generic,ID
tins,Generic,ID
chandeliers,Specific,ID
lamps,Generic,ID
sconces,Generic,ID
holders,Generic,ID
wick,Generic,ID
shaped,Generic,ID
celebration,Generic,ID
lights,Generic,ID
sets,Generic,ID
holder,Generic,ID
clocksshelf,Generic,ID
clocksgrandfather,Generic,ID
monitor,Generic,ID
pillow,Generic,ID
pillows,Generic,ID
stops,Generic,ID
logs,Generic,ID
stoves,Generic,ID
bellows,Generic,ID
brooms,Generic,ID
brushes,Generic,ID
caps,Generic,ID
damper,Generic,ID
starters,Generic,ID
back,Generic,ID
fans,Generic,ID
fenders,Generic,ID
grates,Generic,ID
jamb,Generic,ID
stove,Generic,ID
screens,Generic,ID
carrierslog,Generic,ID
pokers,Generic,ID
pilot,Generic,ID
shovels,Generic,ID
tongs,Generic,ID
tool,Generic,ID
fuel,Generic,ID
decor,Specific,ID
ashtrays,Generic,ID
building,Generic,ID
buildings,Generic,ID
figurines,Specific,ID
vehicles,Generic,ID
plates,Generic,ID
shelves,Generic,ID
bookends,Generic,ID
bottles,Generic,ID
bowls,Generic,ID
boxes,Generic,ID
canes,Generic,ID
finials,Generic,ID
jars,Generic,ID
magnifying,Generic,ID
masks,Generic,ID
pitchers,Generic,ID
platters,Generic,ID
saucers,Generic,ID
signs,Generic,ID
tiles,Generic,ID
trays,Generic,ID
urns,Generic,ID
stands,Specific,ID
hanging,Specific,ID
plaques,Specific,ID
globes,Specific,ID
standing,Generic,ID
crosses,Generic,ID
pediments,Generic,ID
murals,Generic,ID
games,Generic,ID
drawer,Generic,ID
room,Generic,ID
bulb,Generic,ID
diffusers,Generic,ID
oils,Generic,ID
fountains,Generic,ID
algae,Generic,ID
pumps,Generic,ID
glass,Generic,ID
foggers,Generic,ID
furniture,Generic,ID
wastebaskets,Generic,ID
switch,Generic,ID
mounted,Generic,ID
basket,Generic,ID
night,Generic,ID
infant,Generic,ID
waste,Generic,ID
keepsake,Generic,ID
albums,Generic,ID
album,Generic,ID
ring,Generic,ID
framesdouble,Generic,ID
chain,Generic,ID
covers,Generic,ID
toppers,Generic,ID
fillers,Generic,ID
thermometers,Generic,ID
stations,Generic,ID
treatment,Generic,ID
curtain,Generic,ID
shutter,Generic,ID
treatments,Generic,ID
decorating,Specific,ID
bags,Generic,ID
printers,Generic,ID
printer,Generic,ID
coloring,Generic,ID
spatulas,Generic,ID
dispensersicing,Generic,ID
sculpting,Generic,ID
boxescupcake,Generic,ID
fan,Generic,ID
format,Generic,ID
bamboo,Generic,ID
bonsai,Specific,ID
house,Generic,ID
orchid,Generic,ID
cymbidium,Generic,ID
dendrobium,Generic,ID
oncidium,Generic,ID
phalaenopsis,Generic,ID
shadesdecorative,Generic,ID
wax,Generic,ID
trimmers,Generic,ID
lanterns,Specific,ID
